,Class,R,G,B,H,S,V,L,A,B
135,2.0,85.0,116.0,85.0,60.0,68.0,116.0,117.0,110.0,142.0
136,4.0,86.0,126.0,154.0,18.0,113.0,154.0,139.0,133.0,154.0
137,0.0,62.0,65.0,74.0,8.0,41.0,74.0,72.0,131.0,131.0
138,3.0,124.0,86.0,88.0,122.0,78.0,124.0,97.0,138.0,107.0
139,2.0,87.0,117.0,85.0,62.0,70.0,117.0,118.0,110.0,141.0
140,4.0,103.0,137.0,159.0,18.0,90.0,159.0,149.0,131.0,149.0
141,1.0,150.0,185.0,253.0,10.0,104.0,253.0,206.0,148.0,155.0
142,0.0,123.0,145.0,203.0,8.0,100.0,203.0,167.0,147.0,148.0
143,4.0,164.0,220.0,251.0,19.0,88.0,251.0,227.0,131.0,160.0
144,1.0,122.0,150.0,248.0,7.0,130.0,248.0,183.0,162.0,158.0
145,0.0,126.0,144.0,203.0,7.0,97.0,203.0,166.0,148.0,146.0
146,4.0,169.0,218.0,252.0,18.0,84.0,252.0,227.0,133.0,156.0
147,3.0,203.0,173.0,219.0,160.0,54.0,219.0,193.0,150.0,119.0
148,1.0,136.0,166.0,248.0,8.0,115.0,248.0,193.0,155.0,156.0
149,1.0,138.0,170.0,250.0,9.0,114.0,250.0,196.0,154.0,156.0
150,3.0,195.0,163.0,210.0,160.0,57.0,210.0,184.0,151.0,118.0
151,4.0,182.0,230.0,254.0,20.0,72.0,254.0,235.0,129.0,154.0
152,0.0,131.0,150.0,209.0,7.0,95.0,209.0,172.0,148.0,147.0
153,1.0,119.0,144.0,242.0,6.0,130.0,242.0,178.0,163.0,157.0
154,0.0,69.0,84.0,119.0,9.0,107.0,119.0,100.0,140.0,143.0
155,0.0,64.0,79.0,113.0,9.0,111.0,113.0,94.0,140.0,143.0
156,1.0,65.0,90.0,208.0,5.0,175.0,208.0,135.0,173.0,165.0
157,2.0,86.0,129.0,121.0,36.0,85.0,129.0,134.0,118.0,150.0
158,3.0,73.0,39.0,38.0,119.0,122.0,73.0,44.0,138.0,107.0
159,1.0,35.0,41.0,94.0,3.0,160.0,94.0,61.0,152.0,143.0
160,2.0,58.0,75.0,48.0,71.0,92.0,75.0,75.0,114.0,135.0
161,0.0,37.0,36.0,41.0,174.0,31.0,41.0,38.0,130.0,128.0
162,0.0,42.0,42.0,46.0,0.0,22.0,46.0,45.0,130.0,129.0
